Item type,Authors,Title,Journal,Publication year,Volume,Issue,Pages,Publisher,Address,Proceedings title,Conference location,Date published,ISBN,ISSN,URLs,DOI,Abstract,Keywords,Series,Sub-type,Book title,Edition
Conference Paper,"Maiga A,Ali N,Bhattacharya N,Sabané A,Guéhéneuc YG,Antoniol G,Aïmeur E",Support Vector Machines for Anti-Pattern Detection,,2012,,,278–281,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 27th IEEE/ACM International Conference on Automated Software Engineering,"Essen, Germany",2012,9781450312042.0,,https://doi.org/10.1145/2351676.2351723;http://dx.doi.org/10.1145/2351676.2351723,10.1145/2351676.2351723,"Developers may introduce anti-patterns in their software systems because of time pressure, lack of understanding, communication, and--or skills. Anti-patterns impede development and maintenance activities by making the source code more difficult to understand. Detecting anti-patterns in a whole software system may be infeasible because of the required parsing time and of the subsequent needed manual validation. Detecting anti-patterns on subsets of a system could reduce costs, effort, and resources. Researchers have proposed approaches to detect occurrences of anti-patterns but these approaches have currently some limitations: they require extensive knowledge of anti-patterns, they have limited precision and recall, and they cannot be applied on subsets of systems. To overcome these limitations, we introduce SVMDetect, a novel approach to detect anti-patterns, based on a machine learning technique---support vector machines. Indeed, through an empirical study involving three subject systems and four anti-patterns, we showed that the accuracy of SVMDetect is greater than of DETEX when detecting anti-patterns occurrences on a set of classes. Concerning, the whole system, SVMDetect is able to find more anti-patterns occurrences than DETEX.","Anti-pattern, empirical software engineering, program comprehension, program maintenance",ASE 2012,,,
Conference Paper,"Peiris M,Hill JH","Automatically Detecting ""Excessive Dynamic Memory Allocations"" Software Performance Anti-Pattern",,2016,,,237–248,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 7th ACM/SPEC on International Conference on Performance Engineering,"Delft, The Netherlands",2016,9781450340809.0,,https://doi.org/10.1145/2851553.2851563;http://dx.doi.org/10.1145/2851553.2851563,10.1145/2851553.2851563,"This paper presents a methodology for automatically detecting the excessive dynamic memory allocation software performance anti-pattern, which is implemented in a tool named Excessive Memory Allocation Detector (EMAD). To the best of author's knowledge, EMAD is the first attempt to detect excessive dynamic memory allocation anti-pattern without human intervention. EMAD uses dynamic binary instrumentation and exploratory data analysis to determine if an application (or middleware) exhibits excessive dynamic memory allocations. Unlike traditional approaches, EMAD's technique does not rely on source code analysis. Results of applying EMAD to several open-source projects show that EMAD can detect the excessive dynamic memory allocations anti-pattern correctly. The results also show that application performance improves when the detected excessive dynamic memory allocations are resolved.","software performance anti-pattern, excessive dynamic memory allocation, dynamic binary instrumentation, detection",ICPE '16,,,
Conference Paper,"Pecorelli F,Palomba F,Di Nucci D,De Lucia A",Comparing Heuristic and Machine Learning Approaches for Metric-Based Code Smell Detection,,2019,,,93–104,IEEE Press,"Montreal, Quebec, Canada",Proceedings of the 27th International Conference on Program Comprehension,,2019,,,https://doi.org/10.1109/ICPC.2019.00023;http://dx.doi.org/10.1109/ICPC.2019.00023,10.1109/ICPC.2019.00023,"Code smells represent poor implementation choices performed by developers when enhancing source code. Their negative impact on source code maintainability and comprehensibility has been widely shown in the past and several techniques to automatically detect them have been devised. Most of these techniques are based on heuristics, namely they compute a set of code metrics and combine them by creating detection rules; while they have a reasonable accuracy, a recent trend is represented by the use of machine learning where code metrics are used as predictors of the smelliness of code artefacts. Despite the recent advances in the field, there is still a noticeable lack of knowledge of whether machine learning can actually be more accurate than traditional heuristic-based approaches. To fill this gap, in this paper we propose a large-scale study to empirically compare the performance of heuristic-based and machine-learning-based techniques for metric-based code smell detection. We consider five code smell types and compare machine learning models with Decor, a state-of-the-art heuristic-based approach. Key findings emphasize the need of further research aimed at improving the effectiveness of both machine learning and heuristic approaches for code smell detection: while Decor generally achieves better performance than a machine learning baseline, its precision is still too low to make it usable in practice.","empirical study, heuristics, machine learning, code smells detection",ICPC '19,,,
Conference Paper,"Pecorelli F,Di Nucci D,De Roover C,De Lucia A",On the Role of Data Balancing for Machine Learning-Based Code Smell Detection,,2019,,,19–24,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 3rd ACM SIGSOFT International Workshop on Machine Learning Techniques for Software Quality Evaluation,"Tallinn, Estonia",2019,9781450368551.0,,https://doi.org/10.1145/3340482.3342744;http://dx.doi.org/10.1145/3340482.3342744,10.1145/3340482.3342744,"Code smells can compromise software quality in the long term by inducing technical debt. For this reason, many approaches aimed at identifying these design flaws have been proposed in the last decade. Most of them are based on heuristics in which a set of metrics (e.g., code metrics, process metrics) is used to detect smelly code components. However, these techniques suffer of subjective interpretation, low agreement between detectors, and threshold dependability. To overcome these limitations, previous work applied Machine Learning techniques that can learn from previous datasets without needing any threshold definition. However, more recent work has shown that Machine Learning is not always suitable for code smell detection due to the highly unbalanced nature of the problem. In this study we investigate several approaches able to mitigate data unbalancing issues to understand their impact on ML-based approaches for code smell detection. Our findings highlight a number of limitations and open issues with respect to the usage of data balancing in ML-based code smell detection.","Code Smells, Machine Learning, Data Balancing",MaLTeSQuE 2019,,,
Conference Paper,"Borovits N,Kumara I,Krishnan P,Palma SD,Di Nucci D,Palomba F,Tamburri DA,van den Heuvel WJ",DeepIaC: Deep Learning-Based Linguistic Anti-Pattern Detection in IaC,,2020,,,7–12,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 4th ACM SIGSOFT International Workshop on Machine-Learning Techniques for Software-Quality Evaluation,"Virtual, USA",2020,9781450381246.0,,https://doi.org/10.1145/3416505.3423564;http://dx.doi.org/10.1145/3416505.3423564,10.1145/3416505.3423564,"Linguistic anti-patterns are recurring poor practices concerning inconsistencies among the naming, documentation, and implementation of an entity. They impede readability, understandability, and maintainability of source code. This paper attempts to detect linguistic anti-patterns in infrastructure as code (IaC) scripts used to provision and manage computing environments. In particular, we consider inconsistencies between the logic/body of IaC code units and their names. To this end, we propose a novel automated approach that employs word embeddings and deep learning techniques. We build and use the abstract syntax tree of IaC code units to create their code embedments. Our experiments with a dataset systematically extracted from open source repositories show that our approach yields an accuracy between 0.785 and 0.915 in detecting inconsistencies.","Word2Vec, IaC, Code Embedding, Linguistic Anti-patterns, Infrastructure Code, Deep Learning, Defects",MaLTeSQuE 2020,,,
Conference Paper,"Picha P,Brada P",Software Process Anti-Pattern Detection in Project Data,,2019,,,,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 24th European Conference on Pattern Languages of Programs,"Irsee, Germany",2019,9781450362061.0,,https://doi.org/10.1145/3361149.3361169;http://dx.doi.org/10.1145/3361149.3361169,10.1145/3361149.3361169,"There is a significant amount of guidance on Project Management (PM) including software development methodologies, best practices and anti-patterns (APs). There is, however, a lack of automated way of applying this knowledge by analyzing readily available data from tools aiding in software PM, such as Application Lifecycle Management (ALM) tools. We propose a method of detecting process and PM anti-patterns in project data which can be used to warn software development teams about a potential threat to the project, or to conduct more general studies on the impact of AP occurrence on project success and product quality. We previously published a concept for the data mining and analysis toolset distinct from other research approaches and related work. Based on this toolset, we devised a formalized basis for our detection method in the form of standardized AP description template and a model for pattern operationalization over project data extracted from ALM tools. The main contribution of this paper is the general method for AP operationalization taking the description template as a starting point, discussed together with its potential limitations. We performed an initial validation of the method on data from student projects, using an AP we encountered in practice called ""Collective Procrastination"" which we also describe in this paper together with its detailed formal operationalization.","project management anti-patterns, pattern detection, software process anti-patterns, ALM tools",EuroPLop '19,,,
Conference Paper,"Azadi U,Fontana FA,Zanoni M",Machine Learning Based Code Smell Detection through WekaNose,,2018,,,288–289,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 40th International Conference on Software Engineering: Companion Proceeedings,"Gothenburg, Sweden",2018,9781450356633.0,,https://doi.org/10.1145/3183440.3194974;http://dx.doi.org/10.1145/3183440.3194974,10.1145/3183440.3194974,"Code smells can be subjectively interpreted, the results provided by detectors are usually different, the agreement in the results is scarce, and a benchmark for the comparison of these results is not yet available. The main approaches used to detect code smells are based on the computation of a set of metrics. However code smell detectors often use different metrics and/or different thresholds, according to their detection rules. As result of this inconsistency the number of detected smells can increase or decrease accordingly, and this makes hard to understand when, for a specific software, a certain characteristic identifies a code smell or not. In this work, we introduce WekaNose, a tool that allows to perform an experiment to study code smell detection through machine learning techniques. The experiment's purpose is to select rules, and/or obtain trained algorithms, that can classify an instance (method or class) as affected or not by a code smell. These rules have the main advantage of being extracted through an example-based approach, rather then a heuristic-based one.",,ICSE '18,,,
Conference Paper,"Madeyski L,Lewowski T",MLCQ: Industry-Relevant Code Smell Data Set,,2020,,,342–347,Association for Computing Machinery,"New York, NY, USA",Proceedings of the Evaluation and Assessment in Software Engineering,"Trondheim, Norway",2020,9781450377317.0,,https://doi.org/10.1145/3383219.3383264;http://dx.doi.org/10.1145/3383219.3383264,10.1145/3383219.3383264,"Context Research on code smells accelerates and there are many studies that discuss them in the machine learning context. However, while data sets used by researchers vary in quality, all which we encountered share visible shortcomings---data sets are gathered from a rather small number of often outdated projects by single individuals whose professional experience is unknown.Aim This study aims to provide a new data set that addresses the aforementioned issues and, additionally, opens new research opportunities.Method We collaborate with professional software developers (including the code quest company behind the codebeat automated code review platform integrated with GitHub) to review code samples with respect to bad smells. We do not provide additional hints as to what do we mean by a given smell, because our goal is to extract professional developers' contemporary understanding of code smells instead of imposing thresholds from the legacy literature. We gather samples from active open source projects manually verified for industry-relevance and provide repository links and revisions. Records in our MLCQ data set contain the type of smell, its severity and the exact location in source code, but do not contain any source code metrics which can be calculated using various tools. To open new research opportunities, we provide results of an extensive survey of developers involved in the study including a wide range of details concerning their professional experience in software development and many other characteristics. This allows us to track each code review to the developer's background. To the best of our knowledge, this is a unique trait of the presented data set.Conclusions The MLCQ data set with nearly 15000 code samples was created by software developers with professional experience who reviewed industry-relevant, contemporary Java open source projects. We expect that this data set should stay relevant for a longer time than data sets that base on code released years ago and, additionally, will enable researchers to investigate the relationship between developers' background and code smells' perception.","data set, code smells, software quality, software development, bad code smells",EASE '20,,,
Conference Paper,"Shcherban S,Liang P,Tahir A,Li X",Automatic Identification of Code Smell Discussions on Stack Overflow: A Preliminary Investigation,,2020,,,,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 14th ACM / IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),"Bari, Italy",2020,9781450375801.0,,https://doi.org/10.1145/3382494.3422161;http://dx.doi.org/10.1145/3382494.3422161,10.1145/3382494.3422161,"Background: Code smells indicate potential design or implementation problems that may have a negative impact on programs. Similar to other software artefacts, developers use Stack Overflow (SO) to ask questions about code smells. However, given the high number of questions asked on the platform, and the limitations of the default tagging system, it takes significant effort to extract knowledge about code smells by means of manual approaches. Aim: We utilized supervised machine learning techniques to automatically identify code-smell discussions from SO posts. Method: We conducted an experiment using a manually labeled dataset that contains 3000 code-smell and 3000 non-code-smell posts to evaluate the performance of different classifiers when automatically identifying code smell discussions. Results: Our results show that Logistic Regression (LR) with parameter C=20 (inverse of regularization strength) and Bag of Words (BoW) feature extraction technique achieved the best performance amongst the algorithms we evaluated with a precision of 0.978, a recall of 0.965, and an F1-score of 0.971. Conclusion: Our results show that machine learning approach can effectively locate code-smell posts even if posts' title and/or tags cannot be of help. The technique can be used to extract code smell discussions from other textual artefacts (e.g., code reviews), and promisingly to extract SO discussions of other topics.","Discussion, Stack Overflow, Automatic Classification, Code Smell",ESEM '20,,,
Conference Paper,"Pecorelli F,Palomba F,Khomh F,De Lucia A",Developer-Driven Code Smell Prioritization,,2020,,,220–231,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 17th International Conference on Mining Software Repositories,"Seoul, Republic of Korea",2020,9781450375177.0,,https://doi.org/10.1145/3379597.3387457;http://dx.doi.org/10.1145/3379597.3387457,10.1145/3379597.3387457,"Code smells are symptoms of poor implementation choices applied during software evolution. While previous research has devoted effort in the definition of automated solutions to detect them, still little is known on how to support developers when prioritizing them. Some works attempted to deliver solutions that can rank smell instances based on their severity, computed on the basis of software metrics. However, this may not be enough since it has been shown that the recommendations provided by current approaches do not take the developer's perception of design issues into account. In this paper, we perform a first step toward the concept of developer-driven code smell prioritization and propose an approach based on machine learning able to rank code smells according to the perceived criticality that developers assign to them. We evaluate our technique in an empirical study to investigate its accuracy and the features that are more relevant for classifying the developer's perception. Finally, we compare our approach with a state-of-the-art technique. Key findings show that the our solution has an F-Measure up to 85% and outperforms the baseline approach.","Machine Learning for Software Engineering, Code smells, Empirical Software Engineering",MSR '20,,,
