,Title,Authors,Year,Repository
0,Support Vector Machines for Anti-Pattern Detection,"Maiga A,Ali N,Bhattacharya N,Sabané A,Guéhéneuc YG,Antoniol G,Aïmeur E",2012,ACM
1,"Automatically Detecting ""Excessive Dynamic Memory Allocations"" Software Performance Anti-Pattern","Peiris M,Hill JH",2016,ACM
2,Comparing Heuristic and Machine Learning Approaches for Metric-Based Code Smell Detection,"Pecorelli F,Palomba F,Di Nucci D,De Lucia A",2019,ACM
3,On the Role of Data Balancing for Machine Learning-Based Code Smell Detection,"Pecorelli F,Di Nucci D,De Roover C,De Lucia A",2019,ACM
4,DeepIaC: Deep Learning-Based Linguistic Anti-Pattern Detection in IaC,"Borovits N,Kumara I,Krishnan P,Palma SD,Di Nucci D,Palomba F,Tamburri DA,van den Heuvel WJ",2020,ACM
5,Software Process Anti-Pattern Detection in Project Data,"Picha P,Brada P",2019,ACM
6,Machine Learning Based Code Smell Detection through WekaNose,"Azadi U,Fontana FA,Zanoni M",2018,ACM
7,MLCQ: Industry-Relevant Code Smell Data Set,"Madeyski L,Lewowski T",2020,ACM
8,Automatic Identification of Code Smell Discussions on Stack Overflow: A Preliminary Investigation,"Shcherban S,Liang P,Tahir A,Li X",2020,ACM
9,Developer-Driven Code Smell Prioritization,"Pecorelli F,Palomba F,Khomh F,De Lucia A",2020,ACM
10,A Review-Based Comparative Study of Bad Smell Detection Tools,"Fernandes E,Oliveira J,Vale G,Paiva T,Figueiredo E",2016,ACM
11,Size and Cohesion Metrics as Indicators of the Long Method Bad Smell: An Empirical Study,"Charalampidou S,Ampatzoglou A,Avgeriou P",2015,ACM
12,Functionality Based Code Smell Detection and Severity Classification,"Tiwari O,Joshi RK",2020,ACM
13,"Causes, Impacts, and Detection Approaches of Code Smell: A Survey","Haque MS,Carver J,Atkison T",2018,ACM
14,Using Developers' Feedback to Improve Code Smell Detection,"Hozano M,Ferreira H,Silva I,Fonseca B,Costa E",2015,ACM
15,Building Empirical Support for Automated Code Smell Detection,"Schumacher J,Zazworka N,Shull F,Seaman C,Shaw M",2010,ACM
16,Code-Smell Detection as a Bilevel Problem,"Sahin D,Kessentini M,Bechikh S,Deb K",2014,ACM
17,A Preliminary Study on the Adequacy of Static Analysis Warnings with Respect to Code Smell Prediction,"Lujan S,Pecorelli F,Palomba F,De Lucia A,Lenarduzzi V",2020,ACM
18,Does Your Configuration Code Smell?,"Sharma T,Fragkoulis M,Spinellis D",2016,ACM
19,Automatic Metric Thresholds Derivation for Code Smell Detection,"Fontana FA,Ferme V,Zanoni M,Yamashita A",2015,ACM
20,Detecting Bad Smells with Machine Learning Algorithms: An Empirical Study,"Cruz D,Santana A,Figueiredo E",2020,ACM
21,Identifying Method Friendships to Remove the Feature Envy Bad Smell (NIER Track),"Oliveto R,Gethers M,Bavota G,Poshyvanyk D,De Lucia A",2011,ACM
22,Assessing Code Smell Interest Probability: A Case Study,"Charalampidou S,Ampatzoglou A,Chatzigeorgiou A,Avgeriou P",2017,ACM
23,Tracked Changes: Navigating the Document-Format Anti-Pattern,Hamilton DE,2014,ACM
24,Are Code Smell Co-Occurrences Harmful to Internal Quality Attributes? A Mixed-Method Study,"Martins J,Bezerra C,Uchôa A,Garcia A",2020,ACM
25,Investigating the Social Representations of Code Smell Identification: A Preliminary Study,"de Mello R,Uchôa A,Oliveira R,Oliveira D,Fonseca B,Garcia A,de Mello F",2019,ACM
26,"Investigating the Relationship between Code Smell Agglomerations and Architectural Concerns: Similarities and Dissimilarities from Distributed, Service-Oriented, and Mobile Systems","da S. Carvalho LP,Novais R,Mendonça M",2018,ACM
27,Towards Assessing Software Architecture Quality by Exploiting Code Smell Relations,"Fontana FA,Ferme V,Zanoni M",2015,ACM
28,A Catalogue of Lightweight Visualizations to Support Code Smell Inspection,"Parnin C,Görg C,Nnadi O",2008,ACM
29,Prediction of Web Service Anti-Patterns Using Aggregate Software Metrics and Machine Learning Techniques,"Tummalapalli S,Kumar L,Murthy NL",2020,ACM
30,Empirical Study of Programming to an Interface,"Verhaeghe B,Fuhrman C,Guerrouj L,Anquetil N,Ducasse S",2020,ACM
31,Applying Machine Learning to Customized Smell Detection: A Multi-Project Study,"Oliveira D,Assunção WK,Souza L,Oizumi W,Garcia A,Fonseca B",2020,ACM
32,Empirical Study on Code Smells in IOS Applications,"Rahkema K,Pfahl D",2020,ACM
33,FindSmells: Flexible Composition of Bad Smell Detection Strategies,"Sousa BL,Souza PP,Fernandes E,Ferreira KA,Bigonha MA",2017,ACM
34,A Multidimensional Empirical Study on Refactoring Activity,"Tsantalis N,Guana V,Stroulia E,Hindle A",2013,ACM
35,An Empirical Study on Regular Expression Bugs,"Wang P,Brown C,Jennings JA,Stolee KT",2020,ACM
