"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An Effective Web Service Anti-Pattern Prediction Model Using SMOTE","S. Tummalapalli; L. kumar; L. B. Murthy Neti","BITS Pilani Hyderabad Campus, India; BITS Pilani Hyderabad Campus, India; BITS Pilani Hyderabad Campus, India","2019 IEEE 16th India Council International Conference (INDICON)","12 Mar 2020","2019","","","1","4","An anti-pattern is a common response to a recurring problem that is usually ineffective and risks being highly counterproductive. In this work, we empirically investigate the association between the occurrence of four different types of anti-patterns and source code metrics. SMOTE is being used for data sampling as the dataset considered is imbalanced. Principle component analysis and Rough set analysis are applied for feature extraction and selection. The features selected from this two techniques along with the significant features(SIGF) are considered as input for building the predictive models for the detection of antipatterns. The effectiveness of these techniques are evaluated using Logistic Regression(LOGR), Decision Tree(DT) and Least Square Support Vector Machine(LSSVM) with three different kernels:Linear(LSVVML), Polynomial(LSSVMP) and Radbas(LSSVMR). Experimental results reveal that the model developed using SMOTE is yielding better results when compared to the models developed with the original dataset. Furthermore, we also observe that the predictive model developed using LSSVM with linear and polynomial is more effective than the models developed using other classifier techniques.","2325-9418","978-1-7281-2327-1","10.1109/INDICON47234.2019.9029090","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9029090","Software Engineering;Service oriented architecture;Anti-pattern;Web services;Source code metrics","Measurement;Feature extraction;Predictive models;Web services;Principal component analysis;Object oriented modeling;Data models","decision trees;feature extraction;feature selection;least squares approximations;pattern classification;regression analysis;rough set theory;sampling methods;support vector machines;Web services","LSSVMR;LSSVMP;LSVVML;least square support vector machine;decision tree;logistic regression;feature selection;rough set analysis;Web service anti-pattern prediction model;source code metrics;SMOTE;feature extraction;principle component analysis;data sampling","","","","8","IEEE","12 Mar 2020","","","IEEE","IEEE Conferences"
"Design Smell Detection and Analysis for Open Source Java Software","A. Imran","Computer Science and Engineering, University at Buffalo, Buffalo, New York","2019 IEEE International Conference on Software Maintenance and Evolution (ICSME)","5 Dec 2019","2019","","","644","648","Software design smells have gained significant importance in recent years since those directly lead to the increase of design debts and drastically affect software quality. Although the impact of design smells is manifold, techniques to detect design smells using both rule based and data mining approaches have been explored to a limited extent. This research aims to provide a tool which uses software metrics as a guide to detect smells and also deploys Spectral Clustering to mine the software repositories and group similar smells. The tool has been partially implemented till now and initial experiments on 2,59,509 Lines of Code (LoC) covering 3,306 classes of real life open source Java software show 2,220 occurrences of four types of design smells.","2576-3148","978-1-7281-3094-1","10.1109/ICSME.2019.00104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8919054","Design Smell Detection, Design Smell Analysis, Software Engineering","Software;Tools;Java;Software metrics;Machine learning;Unsupervised learning;Data mining","data mining;Java;object-oriented programming;pattern clustering;public domain software;software maintenance;software metrics;software quality","data mining approaches;software metrics;software repositories;life open source Java software;design smell detection;software design smells;gained significant importance;design debts;software quality","","1","","31","IEEE","5 Dec 2019","","","IEEE","IEEE Conferences"
"An Empirical Analysis on Web Service Anti-pattern Detection Using a Machine Learning Framework","L. Kumar; A. Sureka","BITS Pilani, Hyderabad, India; Ashoka University, India","2018 IEEE 42nd Annual Computer Software and Applications Conference (COMPSAC)","22 Jun 2018","2018","01","","2","11","Web Services are application components characterised by interoperability, extensibility, distributed application development and service oriented architecture. A complex distributed application can be developed by combing several third-party web-services. Anti-patterns are counter-productive and poor design and practices. Web-services suffer from a multitude of anti-patterns such as God object Web service and Fine grained Web service. Our work is motivated by the need to build techniques for automatically detecting common web-services anti-patterns by static analysis of the source code implementing a web-service. Our approach is based on the premise that summary values of object oriented source code metrics computed at a web-service level can be used as a predictor for anti-patterns. We present an empirical analysis of 4 data sampling techniques to encounter the class imbalance problem, 5 feature ranking techniques to identify the most informative and relevant features and 8 machine learning algorithms for predicting 5 different types of anti-patterns on 226 real-world web-services across several domains. We conclude that it is possible to predict anti-patterns using source code metrics and a machine learning framework. Our analysis reveals that the best performing classification algorithm is Random Forest, best performing data sampling technique is SMOTE and the best performing feature ranking method is OneR.","0730-3157","978-1-5386-2667-2","10.1109/COMPSAC.2018.00010","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8377634","Anti Patterns, Empirical Software Engineering, Feature Selection, Imbalanced Learning, Machine Learning, Predictive Modeling, Service Oriented Architecture, Software Analytics, Source Code Analysis, Source Code Metrics, Web Services","Measurement;Web services;Prediction algorithms;Feature extraction;Machine learning;Machine learning algorithms;Tools","learning (artificial intelligence);object-oriented programming;pattern classification;program diagnostics;software metrics;source code (software);Web services","Web service anti-pattern detection;Web Services;distributed application development;service oriented architecture;complex distributed application;third-party web-services;God object Web service;Fine grained Web service;common web-services anti-patterns;object oriented source code metrics;web-service level;real-world web-services;machine learning framework;static analysis;class imbalance problem;feature ranking techniques;classification algorithm;Random Forest","","11","","23","IEEE","22 Jun 2018","","","IEEE","IEEE Conferences"
"Poster: Machine Learning Based Code Smell Detection Through WekaNose","U. Azadi; F. A. Fontana; M. Zanoni","Universita degli Studi di Milano-Bicocca, Milano, Lombardia, IT; Universita degli Studi di Milano-Bicocca, Milano, Lombardia, IT; Universita degli Studi di Milano-Bicocca, Milano, Lombardia, IT","2018 IEEE/ACM 40th International Conference on Software Engineering: Companion (ICSE-Companion)","30 Aug 2018","2018","","","288","289","Code smells can be subjectively interpreted, the results provided by detectors are usually different, the agreement in the results is scarce, and a benchmark for the comparison of these results is not yet available. The main approaches used to detect code smells are based on the computation of a set of metrics. However code smell detectors often use different metrics and/or different thresholds, according to their detection rules. As result of this inconsistency the number of detected smells can increase or decrease accordingly, and this makes hard to understand when, for a specific software, a certain characteristic identifies a code smell or not. In this work, we introduce WekaNose, a tool that allows to perform an experiment to study code smell detection through machine learning techniques. The experiment's purpose is to select rules, and/or obtain trained algorithms, that can classify an instance (method or class) as affected or not by a code smell. These rules have the main advantage of being extracted through an example-based approach, rather then a heuristic-based one.","2574-1934","978-1-4503-5663-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449543","Code smell detection tool;Machine Learning techniques;Learning by examples;Community based detection","Software engineering","learning (artificial intelligence);software maintenance","detection rules;machine learning-based code smell detection;WekaNose","","","","","","30 Aug 2018","","","IEEE","IEEE Conferences"
"Improving Machine Learning-Based Code Smell Detection via Hyper-Parameter Optimization","L. Shen; W. Liu; X. Chen; Q. Gu; X. Liu","School of Computer Science and Technology, Nanjing Tech University, Nanjing, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; School of Computer Science and Technology, Nanjing Tech University, Nanjing, China","2020 27th Asia-Pacific Software Engineering Conference (APSEC)","1 Mar 2021","2020","","","276","285","Unlike code errors, the presence of code smell often does not affect the behavior of the software system, but it will cause quality problems in terms of readability, understandability, and efficiency. To improve the software quality and reduce the maintenance costs, the developers need to detect code smells rapidly and make corresponding code refactoring. In code smell detection, recently, machine learning-based methods become more prevalent and can overcome the shortcomings of the heuristic-based methods, which mainly rely on manually designed rules. However, to our best knowledge, there is little research to analyze whether using hyper-parameter optimization can improve the performance of machine learning-based methods. In this study, we mainly focus on two classical code smells (i.e., Data Class and Feature Envy). First, we consider four optimizers for hyper-parameter optimization, and six commonly used classifiers for machine-learning-based methods. Second, we use AUC as the performance measure to evaluate the performance of constructed models. Based on final empirical results, we find that (1) Using hyper-parameter optimization can significantly improve the performance of code smell detection. (2) Differential evolution (DE) optimizer can achieve better performance than the other three optimizers when using the random forest classifier. (3) We can further improve the performance of code smell detection when performing parameter optimization on the DE optimizer.","2640-0715","978-1-7281-9553-7","10.1109/APSEC51365.2020.00036","National Natural Science Foundation of China(grant numbers:No.61972192); Natural Science Foundation of Jiangsu Province(grant numbers:BK20180695); State Key Laboratory for Novel Software Technology at Nanjing University(grant numbers:KFKT2018B17); Nantong Application Research Plan(grant numbers:JC2019106); Jiangsu Government Scholarship for Overseas Studies; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9359294","code smell detection;machine learning;hyperparameter optimization;differential evolution","Learning systems;Software quality;Maintenance engineering;Software systems;Optimization;Random forests;Software engineering","learning (artificial intelligence);optimisation;software maintenance;software metrics;software quality","machine learning-based code smell detection;hyper-parameter optimization;code errors;code refactoring;machine learning-based methods;heuristic-based methods","","","","44","IEEE","1 Mar 2021","","","IEEE","IEEE Conferences"
"SMURF: A SVM-based Incremental Anti-pattern Detection Approach","A. Maiga; N. Ali; N. Bhattacharya; A. Sabané; Y. -G. Guéhéneuc; E. Aimeur","Ptidej Team, École Polytechnique de Montréal, Canada; Ptidej Team, Soccer Laboratory, DGIGL, École Polytechnique de Montréal, Canada; Ptidej Team, Soccer Laboratory, DGIGL, École Polytechnique de Montréal, Canada; Ptidej Team, Soccer Laboratory, DGIGL, École Polytechnique de Montréal, Canada; Ptidej Team, École Polytechnique de Montréal, Canada; Heron Laboratory, DIRO, Université de Montréal, Canada","2012 19th Working Conference on Reverse Engineering","20 Dec 2012","2012","","","466","475","In current, typical software development projects, hundreds of developers work asynchronously in space and time and may introduce anti-patterns in their software systems because of time pressure, lack of understanding, communication, and-or skills. Anti-patterns impede development and maintenance activities by making the source code more difficult to understand. Detecting anti-patterns incrementally and on subsets of a system could reduce costs, effort, and resources by allowing practitioners to identify and take into account occurrences of anti-patterns as they find them during their development and maintenance activities. Researchers have proposed approaches to detect occurrences of anti-patterns but these approaches have currently four limitations: (1) they require extensive knowledge of anti-patterns, (2) they have limited precision and recall, (3) they are not incremental, and (4) they cannot be applied on subsets of systems. To overcome these limitations, we introduce SMURF, a novel approach to detect anti-patterns, based on a machine learning technique - support vector machines - and taking into account practitioners' feedback. Indeed, through an empirical study involving three systems and four anti-patterns, we showed that the accuracy of SMURF is greater than that of DETEX and BDTEX when detecting anti-patterns occurrences. We also showed that SMURF can be applied in both intra-system and inter-system configurations. Finally, we reported that SMURF accuracy improves when using practitioners' feedback.","2375-5369","978-0-7695-4891-3","10.1109/WCRE.2012.56","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6385142","Anti-pattern;program comprehension;program maintenance;empirical software engineering","Support vector machines;Accuracy;Measurement;Training;Maintenance engineering;Kernel","learning (artificial intelligence);program diagnostics;software development management;software maintenance;support vector machines","SMURF;SVM-based incremental antipattern detection approach;software development projects;maintenance activities;development activities;source code;machine learning technique;support vector machines;DETEX;BDTEX;intersystem configurations;intrasystem configurations","","55","","32","IEEE","20 Dec 2012","","","IEEE","IEEE Conferences"
"Automatic Metric Thresholds Derivation for Code Smell Detection","F. Arcelli Fontana; V. Ferme; M. Zanoni; A. Yamashita","Department of Informatics, Systems and Communication University of Milano-Bicocca, Milano, Italy; Faculty of Informatics, University of Lugano (USI), Switzerland; Department of Informatics, Systems and Communication University of Milano-Bicocca, Milano, Italy; Mesan AS, Oslo, Norway","2015 IEEE/ACM 6th International Workshop on Emerging Trends in Software Metrics","6 Aug 2015","2015","","","44","53","Code smells are archetypes of design shortcomings in the code that can potentially cause problems during maintenance. One known approach for detecting code smells is via detection rules: a combination of different object-oriented metrics with pre-defined threshold values. The usage of inadequate thresholds when using this approach could lead to either having too few observations (too many false negatives) or too many observations (too many false positives). Furthermore, without a clear methodology for deriving thresholds, one is left with those suggested in literature (or by the tool vendors), which may not necessarily be suitable to the context of analysis. In this paper, we propose a data-driven (i.e., Benchmark-based) method to derive threshold values for code metrics, which can be used for implementing detection rules for code smells. Our method is transparent, repeatable and enables the extraction of thresholds that respect the statistical properties of the metric in question (such as scale and distribution). Thus, our approach enables the calibration of code smell detection rules by selecting relevant systems as benchmark data. To illustrate our approach, we generated a benchmark dataset based on 74 systems of the Qualitas Corpus, and extracted the thresholds for five smell detection rules.","2327-0969","978-1-4673-7103-2","10.1109/WETSoM.2015.14","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7181590","Metric thresholds;Code smell detection;Benchmark dataset","Measurement;Benchmark testing;Couplings;Complexity theory;Surgery;Electronic mail;Context","software maintenance;software metrics","automatic metric threshold derivation;code smell detection rules;software maintenance;object-oriented metrics;threshold values;false negatives;false positives;data-driven method;benchmark-based method;code metrics;threshold extraction;statistical properties;benchmark dataset;Qualitas Corpus","","20","2","35","IEEE","6 Aug 2015","","","IEEE","IEEE Conferences"
"Comparing Heuristic and Machine Learning Approaches for Metric-Based Code Smell Detection","F. Pecorelli; F. Palomba; D. Di Nucci; A. De Lucia","University of Salerno, Italy; University of Zurich, Switzerland; Vrije Universiteit Brussel, Belgium; University of Salerno, Italy","2019 IEEE/ACM 27th International Conference on Program Comprehension (ICPC)","29 Aug 2019","2019","","","93","104","Code smells represent poor implementation choices performed by developers when enhancing source code. Their negative impact on source code maintainability and comprehensibility has been widely shown in the past and several techniques to automatically detect them have been devised. Most of these techniques are based on heuristics, namely they compute a set of code metrics and combine them by creating detection rules; while they have a reasonable accuracy, a recent trend is represented by the use of machine learning where code metrics are used as predictors of the smelliness of code artefacts. Despite the recent advances in the field, there is still a noticeable lack of knowledge of whether machine learning can actually be more accurate than traditional heuristic-based approaches. To fill this gap, in this paper we propose a large-scale study to empirically compare the performance of heuristic-based and machine-learning-based techniques for metric-based code smell detection. We consider five code smell types and compare machine learning models with DECOR, a state-of-the-art heuristic-based approach. Key findings emphasize the need of further research aimed at improving the effectiveness of both machine learning and heuristic approaches for code smell detection: while DECOR generally achieves better performance than a machine learning baseline, its precision is still too low to make it usable in practice.","2643-7171","978-1-7281-1519-1","10.1109/ICPC.2019.00023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8813271","Code Smells Detection;Heuristics;Machine Learning;Empirical Study","","learning (artificial intelligence);software maintenance;software metrics;source code (software)","metric-based code smell detection;source code maintainability;code metrics;code artefacts;heuristic approach;machine learning approach;DECOR","","22","1","99","IEEE","29 Aug 2019","","","IEEE","IEEE Conferences"
"Identification of Code Smell Using Machine Learning","A. Jesudoss; S. Maneesha; T. Lakshmi naga durga","Department of Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai, Tamil Nadu, India; Department of Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai, Tamil Nadu, India; Department of Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai, Tamil Nadu, India","2019 International Conference on Intelligent Computing and Control Systems (ICCS)","16 Apr 2020","2019","","","54","58","Code smells are used to improve the quality of the software. Code smell detection detects the code problems like long method, large class, lazy class, long parameter list, feature envy, primitive obsession detector and too many literal detectors present in the code. In this work, two algorithms are used namely Support Vector Machine (SVM) and Random Forest algorithm. Support Vector Machine acts as classifier and the Random Forest algorithm are used for predicting the range of data. Decision making technique is used to identify the various problems present in the code. Code smell detection is a testing tool and it is mainly used by the developers, when the size of the code becomes unmanageable for manual detection. It also identifies deeper problems like syntax error, runtime error. It gives the output by analyzing the code in six different modules in this work.","","978-1-5386-8113-8","10.1109/ICCS45141.2019.9065317","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9065317","Code Smell;Bloated Code Detector;Lazy Class Detector;Feature Envy;Large Class;Long method;Primitive Obsession Detector;Bad Smells","Detectors;Feature extraction;Support vector machines;Software;Java;Conferences;Classification algorithms","decision making;learning (artificial intelligence);random forests;software maintenance;software quality","random forest algorithm;code smell detection;manual detection;machine learning;lazy class;primitive obsession detector;literal detectors;support vector machine;software quality;decision making","","1","","30","IEEE","16 Apr 2020","","","IEEE","IEEE Conferences"
"Detecting patterns and antipatterns in software using Prolog rules","A. Stoianov; I. Şora","Department of Computers, Politehnica University of Timisoara, Timisoara, Romania; Department of Computers, Politehnica University of Timisoara, Timisoara, Romania","2010 International Joint Conference on Computational Cybernetics and Technical Informatics","21 Jun 2010","2010","","","253","258","Program comprehension is a key prerequisite for the maintainance and analysis of legacy software systems. Knowing about the presence of design patterns or antipatterns in a software system can significantly improve the program comprehension. Unfortunately, in many cases the usage of certain patterns is seldom explicitly described in the software documentation, while antipatterns are never described as such in the documentation. Since manual inspection of the code of large software systems is difficult, automatic or semi-automatic procedures for discovering patterns and antipatterns from source code can be very helpful. In this article we propose detection methods for a set of patterns and antipatterns, using a logic-based approach. We define with help of Prolog predicates both structural and behavioural aspects of patterns and antipatters. The detection results obtained for a number of test systems are also presented.","","978-1-4244-7433-2","10.1109/ICCCYB.2010.5491288","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5491288","design pattern;antipattern;detection","Software systems;Documentation;Software maintenance;Vocabulary;Pattern analysis;Inspection;System testing;Software quality;Context;Computer architecture","pattern classification;PROLOG;software maintenance","software pattern detection;software antipattern detection;Prolog rules;program comprehension;legacy software systems;software maintenance;software analysis;logic-based approach","","13","","12","IEEE","21 Jun 2010","","","IEEE","IEEE Conferences"
