Item type,Authors,Editors,Title,Journal,Publication year,Volume,Issue,Pages,Publisher,Book title,Date published,ISBN,ISSN,URLs,DOI,Abstract,Keywords,Notes,Series,Edition,Address
Journal Article,"Pecorelli F,Di Nucci D,De Roover C,De Lucia A",,A large empirical assessment of the role of data balancing in machine-learning-based code smell detection,Journal of Systems and Software,2020,169.0,,110693,,,2020,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121220301448;http://dx.doi.org/10.1016/j.jss.2020.110693,10.1016/j.jss.2020.110693,"Code smells can compromise software quality in the long term by inducing technical debt. For this reason, many approaches aimed at identifying these design flaws have been proposed in the last decade. Most of them are based on heuristics in which a set of metrics is used to detect smelly code components. However, these techniques suffer from subjective interpretations, a low agreement between detectors, and threshold dependability. To overcome these limitations, previous work applied Machine-Learning that can learn from previous datasets without needing any threshold definition. However, more recent work has shown that Machine-Learning is not always suitable for code smell detection due to the highly imbalanced nature of the problem. In this study, we investigate five approaches to mitigate data imbalance issues to understand their impact on Machine Learning-based approaches for code smell detection in Object-Oriented systems and those implementing the Model-View-Controller pattern. Our findings show that avoiding balancing does not dramatically impact accuracy. Existing data balancing techniques are inadequate for code smell detection leading to poor accuracy for Machine-Learning-based approaches. Therefore, new metrics to exploit different software characteristics and new techniques to effectively combine them are needed.","Code smells, Machine learning, Data balancing, Object oriented, Model view controller",,,,
Journal Article,"Rebai S,Kessentini M,Alizadeh V,Sghaier OB,Kazman R",,Recommending refactorings via commit message analysis,Information and Software Technology,2020,126.0,,106332,,,2020,,0950-5849,https://www.sciencedirect.com/science/article/pii/S0950584920300914;http://dx.doi.org/10.1016/j.infsof.2020.106332,10.1016/j.infsof.2020.106332,"Context The purpose of software restructuring, or refactoring, is to improve software quality and developer productivity. Objective Prior studies have relied mainly on static and dynamic analysis of code to detect and recommend refactoring opportunities, such as code smells. Once identified, these smells are fixed by applying refactorings which then improve a set of quality metrics. While this approach has value and has shown promising results, many detected refactoring opportunities may not be related to a developer’s current context and intention. Recent studies have shown that while developers document their refactoring intentions, they may miss relevant refactorings aligned with their rationale. Method In this paper, we first identify refactoring opportunities by analyzing developer commit messages and check the quality improvements in the changed files, then we distill this knowledge into usable context-driven refactoring recommendations to complement static and dynamic analysis of code. Results The evaluation of our approach, based on six open source projects, shows that we outperform prior studies that apply refactorings based on static and dynamic analysis of code alone. Conclusion This study provides compelling evidence of the value of using the information contained in existing commit messages to recommend future refactorings.","Commit message, Refactoring recommendation, Quality attributes",,,,
Journal Article,"de Oliveira MC,Freitas D,Bonifácio R,Pinto G,Lo D",,Finding needles in a haystack: Leveraging co-change dependencies to recommend refactorings,Journal of Systems and Software,2019,158.0,,110420,,,2019,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121219301943;http://dx.doi.org/10.1016/j.jss.2019.110420,10.1016/j.jss.2019.110420,"A fine-grained co-change dependency arises when two fine-grained source-code entities, e.g., a method, change frequently together. This kind of dependency is relevant when considering remodularization efforts (e.g., to keep methods that change together in the same class). However, existing approaches for recommending refactorings that change software decomposition (such as a move method) do not explore the use of fine-grained co-change dependencies. In this paper we present a novel approach for recommending move method and move field refactorings, which removes co-change dependencies and evolutionary smells, a particular type of dependency that arise when fine-grained entities that belong to different classes frequently change together. First we evaluate our approach using 49 open-source Java projects, finding 610 evolutionary smells. Our approach automatically computes 56 refactoring recommendations that remove these evolutionary smells, without introducing new static dependencies. We also evaluate our approach by submitting pull-requests with the recommendations of our technique, in the context of one large and two medium size proprietary Java systems. Quantitative results show that our approach outperforms existing approaches for recommending refactorings when dealing with co-change dependencies. Qualitative results show that our approach is promising, not only for recommending refactorings but also to reveal opportunities of design improvements.","Refactoring, Co-change dependencies, Remodularization, Software clustering, Design quality",,,,
Journal Article,"Szőke G,Antal G,Nagy C,Ferenc R,Gyimóthy T",,Empirical study on refactoring large-scale industrial systems and its effects on maintainability,Journal of Systems and Software,2017,129.0,,107-126,,,2017,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121216301558;http://dx.doi.org/10.1016/j.jss.2016.08.071,10.1016/j.jss.2016.08.071,"Software evolves continuously, it gets modified, enhanced, and new requirements always arise. If we do not spend time occasionally on improving our source code, its maintainability will inevitably decrease. The literature tells us that we can improve the maintainability of a software system by regularly refactoring it. But does refactoring really increase software maintainability? Can it happen that refactoring decreases the maintainability? Empirical studies show contradicting answers to these questions and there have been only a few studies which were performed in a large-scale, industrial context. In our paper, we assess these questions in an in vivo context, where we analyzed the source code and measured the maintainability of 6 large-scale, proprietary software systems in their manual refactoring phase. We analyzed 2.5 million lines of code and studied the effects on maintainability of 315 refactoring commits which fixed 1273 coding issues. We found that single refactorings only make a very little difference (sometimes even decrease maintainability), but a whole refactoring period, in general, can significantly increase maintainability, which can result not only in the local, but also in the global improvement of the code.","Refactoring, Software quality, Maintainability, Coding issues, Antipatterns, ISO/IEC 25010",,,,
Journal Article,"Ouni A,Kessentini M,Sahraoui H,Inoue K,Hamdi MS",,Improving multi-objective code-smells correction using development history,Journal of Systems and Software,2015,105.0,,18-39,,,2015,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121215000631;http://dx.doi.org/10.1016/j.jss.2015.03.040,10.1016/j.jss.2015.03.040,"One of the widely used techniques to improve the quality of software systems is refactoring. Software refactoring improves the internal structure of the system while preserving its external behavior. These two concerns drive the existing approaches to refactoring automation. However, recent studies demonstrated that these concerns are not enough to produce correct and consistent refactoring solutions. In addition to quality improvement and behavior preservation, studies consider, among others, construct semantics preservation and minimization of changes. From another perspective, development history was proven as a powerful source of knowledge in many maintenance tasks. Still, development history is not widely explored in the context of automated software refactoring. In this paper, we use the development history collected from existing software projects to propose new refactoring solutions taking into account context similarity with situations seen in the past. We propose a multi-objective optimization-based approach to find good refactoring sequences that (1) minimize the number of code-smells, and (2) maximize the use of development history while (3) preserving the construct semantics. To this end, we use the non-dominated sorting genetic algorithm (NSGA-II) to find the best trade-offs between these three objectives. We evaluate our approach using a benchmark composed of five medium and large-size open-source systems and four types of code-smells (Blob, spaghetti code, functional decomposition, and data class). Our experimental results show the effectiveness of our approach, compared to three different state-of-the-art approaches, with more than 85% of code-smells fixed and 86% of suggested refactorings semantically coherent when the change history is used.","Search-based software engineering, Refactoring, Code-smells",,,,
Journal Article,"Almuairfi S,Alenezi M",,Security controls in infrastructure as code,Computer Fraud & Security,2020,2020.0,10.0,13-19,,,2020,,1361-3723,https://www.sciencedirect.com/science/article/pii/S1361372320301093;http://dx.doi.org/10.1016/S1361-3723(20)30109-3,10.1016/S1361-3723(20)30109-3,"The development, deployment and management of software applications have shifted dramatically in the past 10 years. This fundamental shift is what we now know as development operations (DevOps). Infrastructure as Code (IaC) is one of the main tenets of DevOps. Previously, manual configuration via cloud providers’ UI consoles and physical hardware used to take place. But now, with the concept of IaC, the IT infrastructure can be automated by using blueprints that are easily readable by machines.",,,,,
Journal Article,"Nam J,Wang S,Xi Y,Tan L",,A bug finder refined by a large set of open-source projects,Information and Software Technology,2019,112.0,,164-175,,,2019,,0950-5849,https://www.sciencedirect.com/science/article/pii/S0950584919300977;http://dx.doi.org/10.1016/j.infsof.2019.04.014,10.1016/j.infsof.2019.04.014,"Context Static bug detection techniques are commonly used to automatically detect software bugs. The biggest obstacle to the wider adoption of static bug detection tools is false positives, i.e., reported bugs that developers do not have to act on. Objective The objective of this study is to reduce false positives resulting from static bug detection tools and to detect new bugs by exploring the effectiveness of a feedback-based bug detection rule design. Method We explored a large number of software projects and applied an iterative feedback-based process to design bug detection rules. The outcome of the process is a set of ten bug detection rules, which we used to build a feedback-based bug finder, FeeFin. Specifically, we manually examined 1622 patches to identify bugs and fix patterns, and implement bug detection rules. Then, we refined the rules by repeatedly using feedback from a large number of software projects. Results We applied FeeFin to the latest versions of the 1880 projects on GitHub to detect previously unknown bugs. FeeFin detected 98 new bugs, 63 of which have been reviewed by developers: 57 were confirmed as true bugs, and 9 were confirmed as false positives. In addition, we investigated the benefits of our FeeFin process in terms of new and improved bug patterns. We verified our bug patterns with four existing tools, namely PMD, FindBugs, Facebook Infer, and Google Error Prone, and found that our FeeFin process has the potential to identify new bug patterns and also to improve existing bug patterns. Conclusion Based on the results, we suggest that static bug detection tool designers identify new bug patterns by mining real-world patches from a large number of software projects. In addition, the FeeFin process is helpful in mitigating false positives generated from existing tools by refining their bug detection rules.","Static bug finder, bug detection rules, bug patterns",,,,
Journal Article,"Jaafar F,Lozano A,Guéhéneuc YG,Mens K",,Analyzing software evolution and quality by extracting Asynchrony change patterns,Journal of Systems and Software,2017,131.0,,311-322,,,2017,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121217300948;http://dx.doi.org/10.1016/j.jss.2017.05.047,10.1016/j.jss.2017.05.047,"Change patterns describe two or more files were often changed together during the development or the maintenance of software systems. Several studies have been presented to detect change patterns and to analyze their types and their impact on software quality. In this context, we introduced the Asynchrony change pattern to describes a set of files that always change together in the same change periods, regardless developers who maintained them. In this paper, we investigate the impact of Asynchrony change pattern on design and code smells such as anti-patterns and code clones. Concretely, we conduct an empirical study by detecting Asynchrony change patterns, anti-patterns and code clones occurrences on 22 versions of four software systems and analyzing their fault-proneness. Results show that cloned files that follow the same Asynchrony change patterns have significantly increased fault-proneness with respect to other clones, and that anti-patterns following the same Asynchrony change pattern can be up to five times more risky in terms of fault-proneness as compared to other anti-patterns. Asynchrony change patterns thus seem to be strong indicators of fault-proneness for clones and anti-patterns.","Change patterns, Anti-patterns, Clones, Fault-proneness, Software quality",,,,
Journal Article,"Valdivia-Garcia H,Shihab E,Nagappan M",,Characterizing and predicting blocking bugs in open source projects,Journal of Systems and Software,2018,143.0,,44-58,,,2018,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121218300530;http://dx.doi.org/10.1016/j.jss.2018.03.053,10.1016/j.jss.2018.03.053,"Software engineering researchers have studied specific types of issues such reopened bugs, performance bugs, dormant bugs, etc. However, one special type of severe bugs is blocking bugs. Blocking bugs are software bugs that prevent other bugs from being fixed. These bugs may increase maintenance costs, reduce overall quality and delay the release of the software systems. In this paper, we study blocking bugs in eight open source projects and propose a model to predict them early on. We extract 14 different factors (from the bug repositories) that are made available within 24 hours after the initial submission of the bug reports. Then, we build decision trees to predict whether a bug will be a blocking bugs or not. Our results show that our prediction models achieve F-measures of 21%–54%, which is a two-fold improvement over the baseline predictors. We also analyze the fixes of these blocking bugs to understand their negative impact. We find that fixing blocking bugs requires more lines of code to be touched compared to non-blocking bugs. In addition, our file-level analysis shows that files affected by blocking bugs are more negatively impacted in terms of cohesion, coupling complexity and size than files affected by non-blocking bugs.","Process metrics, Code metrics, Post-release defects",,,,
Journal Article,"Tappolet J,Kiefer C,Bernstein A",,Semantic web enabled software analysis,"Web Semantics: Science, Services and Agents on the World Wide Web",2010,8.0,2.0,225-240,,,2010,,1570-8268,https://www.sciencedirect.com/science/article/pii/S1570826810000338;http://dx.doi.org/10.1016/j.websem.2010.04.009,10.1016/j.websem.2010.04.009,"One of the most important decisions researchers face when analyzing software systems is the choice of a proper data analysis/exchange format. In this paper, we present EvoOnt, a set of software ontologies and data exchange formats based on OWL. EvoOnt models software design, release history information, and bug-tracking meta-data. Since OWL describes the semantics of the data, EvoOnt (1) is easily extendible, (2) can be processed with many existing tools, and (3) allows to derive assertions through its inherent Description Logic reasoning capabilities. The contribution of this paper is that it introduces a novel software evolution ontology that vastly simplifies typical software evolution analysis tasks. In detail, we show the usefulness of EvoOnt by repeating selected software evolution and analysis experiments from the 2004–2007 Mining Software Repositories Workshops (MSR). We demonstrate that if the data used for analysis were available in EvoOnt then the analyses in 75% of the papers at MSR could be reduced to one or at most two simple queries within off-the-shelf SPARQL tools. In addition, we present how the inherent capabilities of the Semantic Web have the potential of enabling new tasks that have not yet been addressed by software evolution researchers, e.g., due to the complexities of the data integration.","Software comprehension framework, Software release similarity, Bug prediction, Software evolution",Bridging the Gap—Data Mining and Social Network Analysis for Integrating Semantic Web and Web 2.0 The Future of Knowledge Dissemination: The Elsevier Grand Challenge for the Life Sciences,,,
