Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Wang H., Liu J., Kang J., Yin W., Sun H., Wang H.","57224617787;55705933200;57211391876;57195674493;55547141353;57216290974;","Feature Envy detection based on Bi-LSTM with self-attention mechanism",2020,"Proceedings - 2020 IEEE International Symposium on Parallel and Distributed Processing with Applications, 2020 IEEE International Conference on Big Data and Cloud Computing, 2020 IEEE International Symposium on Social Computing and Networking and 2020 IEEE International Conference on Sustainable Computing and Communications, ISPA-BDCloud-SocialCom-SustainCom 2020",,,"9444004","448","457",,1,"10.1109/ISPA-BDCloud-SocialCom-SustainCom51426.2020.00082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108027397&doi=10.1109%2fISPA-BDCloud-SocialCom-SustainCom51426.2020.00082&partnerID=40&md5=d0b56a02fc3e4e08a430cbb9dd28cbd1","Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China; China Aeronautical Radio Electronics Research Institute, Shanghai, China","Wang, H., Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China; Liu, J., Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China; Kang, J., China Aeronautical Radio Electronics Research Institute, Shanghai, China; Yin, W., China Aeronautical Radio Electronics Research Institute, Shanghai, China; Sun, H., Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China; Wang, H., China Aeronautical Radio Electronics Research Institute, Shanghai, China","Code Smell refers to suboptimal or harmful structures in the source code that may impede the maintainability of software. It serves as an effective way to detect refactoring opportunities. As the most prevailing smell, Feature Envy and its detection has been deeply explored for many years, which produces massive automated detection methods. Nevertheless, the heuristic-based approach cannot reach a satisfying level, and the machine learning approach still needs further optimization. Recent advances in deep learning inspire the birth of deep learning based approach. In this paper, we define a simpler distance metric as numerical feature and we collect class name and method name as text feature. Then we leverage Bidirectional Long-Short Term Memory (Bi-LSTM) Network with self-attention mechanism to extract semantic distance information in the text part, and we adopt embedding technology to enhance the structure distance information in the numerical part. Combined with the two sophisticatedly designed modules and the final classification module, a more reliable and accurate model is presented. Experimental results on seven open-source Java projects show that our model significantly outperforms existing methods. © 2020 IEEE.","Bi-LSTM; Code smell; Feature Envy Detection; Self-Attention Mechanism","Big data; Cloud computing; Codes (symbols); Deep learning; Feature extraction; Numerical methods; Open source software; Semantics; Social networking (online); Accurate modeling; Attention mechanisms; Automated detection; Distance information; Learning-based approach; Machine learning approaches; Numerical features; Semantic distance; Long short-term memory","ZF1213; National Natural Science Foundation of China, NSFC: 61972150; National Key Research and Development Program of China, NKRDPC: 2019YFA0706404","This work was supported in part by the National Key Research and Development Project 2019YFA0706404, in part by the NSFC under Project 61972150, and in part by the Shanghai Knowledge Service Platform under Project ZF1213.",,,,,,,,,,"Liu, J.; Shanghai Key Laboratory of Trustworthy Computing, China; email: jliu@sei.ecnu.edu.cn","Hu J.Min G.Georgalas N.Zhao Z.Hao F.Miao W.","Institute of Electrical and Electronics Engineers Inc.",,9781665414852,,,"English","Proc. - IEEE Int. Symp. Parallel Distrib. Process. Appl., IEEE Int. Conf. Big Data Cloud Comput., IEEE Int. Symp. Soc. Comput. Netw. IEEE Int. Conf. Sustain. Comput. Commun., ISPA-BDCloud-SocialCom-SustainCom",Conference Paper,"Final","",Scopus,2-s2.0-85108027397
"Li G., Tang Y., Zhang X., Yi B.","57204144584;55181590900;57221515902;57222334409;","A deep learning based approach to detect code clones",2020,"Proceedings - 2020 International Conference on Intelligent Computing and Human-Computer Interaction, ICHCI 2020",,,"9424815","337","340",,,"10.1109/ICHCI51889.2020.00078","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106431132&doi=10.1109%2fICHCI51889.2020.00078&partnerID=40&md5=a00fce7126adf9a1ae23156c4e4dc612","National Innovation Institute of Defense Technology, Beijing, China","Li, G., National Innovation Institute of Defense Technology, Beijing, China; Tang, Y., National Innovation Institute of Defense Technology, Beijing, China; Zhang, X., National Innovation Institute of Defense Technology, Beijing, China; Yi, B., National Innovation Institute of Defense Technology, Beijing, China","Code clone is a kind of code smells widely exists in practice. Such code smell may lead to serious problems, e.g., code redundancy and code inconsistency. To reduce the negative impact of code clones, researchers have proposed different approaches to detect and remove code clones. However, existing code clone detection approaches mostly rely on manually designed and fine-tuned heuristic rules. Such approaches cannot be exploited in different projects and the precision of them needs to improve further. To this end, this paper proposes a deep learning based approach to detect code clones by statically extracting syntactic features from the ASTs of source files. Evaluation results suggest that the proposed approach is effective in detecting code clones, its precision is around 90%. © 2020 IEEE.","Code clone; Deep learning; Software quality","Cloning; Human computer interaction; Intelligent computing; Code clone detection; Code redundancy; Code smell; Evaluation results; Heuristic rules; Learning-based approach; Source files; Syntactic features; Deep learning",,,,,,,,,,,,"Zhang, X.; National Innovation Institute of Defense TechnologyChina; email: xtangee@hotmail.com",,"Institute of Electrical and Electronics Engineers Inc.",,9781665423168,,,"English","Proc. - Int. Conf. Intell. Comput. Hum.-Comput. Interact., ICHCI",Conference Paper,"Final","",Scopus,2-s2.0-85106431132
"Tang G., Meng L., Wang H., Ren S., Wang Q., Yang L., Cao W.","57215544716;57215545789;54790335900;57220888025;57199479507;57198986898;57195309486;","A Comparative Study of Neural Network Techniques for Automatic Software Vulnerability Detection",2020,"Proceedings - 2020 International Symposium on Theoretical Aspects of Software Engineering, TASE 2020",,,"9405265","1","8",,5,"10.1109/TASE49443.2020.00010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105412850&doi=10.1109%2fTASE49443.2020.00010&partnerID=40&md5=d032dad7b596aeaf1ab7ed3377f62111","School of Computer Science and Technology, Harbin Engineering University, Harbin, China; National Key Laboratory of Science and Technology on Information System Security, Institute of System Engineering, Chinese Academy of Military Science, Beijing, China; College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China","Tang, G., School of Computer Science and Technology, Harbin Engineering University, Harbin, China; Meng, L., School of Computer Science and Technology, Harbin Engineering University, Harbin, China; Wang, H., School of Computer Science and Technology, Harbin Engineering University, Harbin, China; Ren, S., National Key Laboratory of Science and Technology on Information System Security, Institute of System Engineering, Chinese Academy of Military Science, Beijing, China; Wang, Q., National Key Laboratory of Science and Technology on Information System Security, Institute of System Engineering, Chinese Academy of Military Science, Beijing, China; Yang, L., National Key Laboratory of Science and Technology on Information System Security, Institute of System Engineering, Chinese Academy of Military Science, Beijing, China; Cao, W., College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China","Software vulnerabilities are usually caused by design flaws or implementation errors, which could be exploited to cause damage to the security of the system. At present, the most commonly used method for detecting software vulnerabilities is static analysis. Most of the related technologies work based on rules or code similarity (source code level) and rely on manually defined vulnerability features. However, these rules and vulnerability features are difficult to be defined and designed accurately, which makes static analysis face many challenges in practical applications. To alleviate this problem, some researchers have proposed to use neural networks that have the ability of automatic feature extraction to improve the intelligence of detection. However, there are many types of neural networks, and different data preprocessing methods will have a significant impact on model performance. It is a great challenge for engineers and researchers to choose a proper neural network and data preprocessing method for a given problem. To solve this problem, we have conducted extensive experiments to test the performance of the two most typical neural networks (i.e., Bi-LSTM and RVFL) with the two most classical data preprocessing methods (i.e., the vector representation and the program symbolization methods) on software vulnerability detection problems and obtained a series of interesting research conclusions, which can provide valuable guidelines for researchers and engineers. Specifically, we found that 1) the training speed of RVFL is always faster than Bi-LSTM, but the prediction accuracy of Bi-LSTM model is higher than RVFL; 2) using doc2vec for vector representation can make the model have faster training speed and generalization ability than using word2vec; and 3) multi-level symbolization is helpful to improve the precision of neural network models. © 2020 IEEE.","Bi-LSTM; machine learning; neural network; RVFL; software vulnerability","Feature extraction; Network security; Software testing; Static analysis; Automatic feature extraction; Comparative studies; Generalization ability; Implementation error; Neural network model; Neural network techniques; Software vulnerabilities; Vector representations; Long short-term memory","TICPSH202003008-ZC; National Natural Science Foundation of China, NSFC: 61872104","This research is partially supported by the vulnerability analysis technology for UAV communication protocol project of National Key Laboratory of Science and Technology on Information System Security, the Natural Science Foundation of China (No. 61872104), and the Opening Project of Shanghai Trusted Industrial Control Platform (TICPSH202003008-ZC).",,,,,,,,,,"Wang, H.; School of Computer Science and Technology, China
Yang, L.; National Key Laboratory of Science and Technology on Information System Security, China","Aoki T.Li Q.","Institute of Electrical and Electronics Engineers Inc.",,9781728140865,,,"English","Proc. - Int. Symp. Theor. Aspects Softw. Eng., TASE",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85105412850
"Tummalapalli S., Kumar L., Neti L.B.M., Krishna A.","57190253628;56120791500;57192228561;57209052897;","An Empirical Analysis on the Role of WSDL Metrics in Web Service Anti-Pattern Prediction",2020,"Proceedings - 2020 IEEE 22nd International Conference on High Performance Computing and Communications, IEEE 18th International Conference on Smart City and IEEE 6th International Conference on Data Science and Systems, HPCC-SmartCity-DSS 2020",,,"9407977","559","564",,,"10.1109/HPCC-SmartCity-DSS50907.2020.00070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105306383&doi=10.1109%2fHPCC-SmartCity-DSS50907.2020.00070&partnerID=40&md5=5d2d4333a6bd531d4d3732f4f81303a0","BITS-Pilani, Hyderabad, India; Curtin University, Australia","Tummalapalli, S., BITS-Pilani, Hyderabad, India; Kumar, L., BITS-Pilani, Hyderabad, India; Neti, L.B.M., BITS-Pilani, Hyderabad, India; Krishna, A., Curtin University, Australia","Service-Oriented Architecture (SOA) is one of the most well-known models for designing web systems. SOA system evolution and maintenance is challenging because of its distributive nature and secondly due to the demand of designing high-quality, stable interfaces. This evolution leads to a problem called Anti-patterns in web services. It is observed that these anti-patterns negatively impact the evolution and maintenance of software systems, making the early detection and correction of them a primary concern for the software developers. The primary motivation of this work is to investigate the relationship between the Web Service Description Language(WSDL) metrics and anti-patterns in web services. This research aims to develop an automatic method for the detection of web service anti-patterns. The core idea of the methodology defined is to identify the most crucial WSDL metrics with the association of various feature selection techniques for the prediction of anti-patterns. Experimental results show that the model developed by using all the WSDL quantity metrics(AM) shows a bit high performance compared to the models developed with the other metric sets. Experimental results also showed that the performance of the models generated using Decision Tree(DT) and Major Voting Ensemble(MVE) is high compared to the models generated using other classifier techniques. © 2020 IEEE.","Anti-patterns; Data Sampling; Feature Selection; Machine Learning; Neural Networks; Web Services; WSDL metrics","Data communication systems; Data Science; Decision trees; Information services; Quality of service; Service oriented architecture (SOA); Smart city; Websites; Anti-patterns; Automatic method; Empirical analysis; Selection techniques; Software developer; Software systems; System evolution; Web service description language; Web services",,"VII. ACKNOWLEDGEMENTS This research is funded by TestAIng Solutions Pvt. Ltd.",,,,,,,,,,,,"Institute of Electrical and Electronics Engineers Inc.",,9781728176499,,,"English","Proc. - IEEE Int. Conf. High Perform. Comput. Commun., IEEE Int. Conf. Smart City IEEE Int. Conf. Data Sci. Syst., HPCC-SmartCity-DSS",Conference Paper,"Final","",Scopus,2-s2.0-85105306383
"Moreira G.Y.D.O., Santos J.A.M.","57222494324;56712246700;","Applying coupling and cohesion concepts in object-oriented software: A controlled experiment",2020,"ACM International Conference Proceeding Series",,,"3439969","","",,,"10.1145/3439961.3439969","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102881294&doi=10.1145%2f3439961.3439969&partnerID=40&md5=bda3acfab023d81b4b5634ffdde8c9d9","State University of Feira de Santana, Brazil","Moreira, G.Y.D.O., State University of Feira de Santana, Brazil; Santos, J.A.M., State University of Feira de Santana, Brazil","Context: Coupling and cohesion concepts support the object-oriented (OO) design activity. A better design implies less coupled and more cohesive classes. Thus, it is expected studies on OO design investigate issues impacting the good application of these concepts. However, most studies in the area have focused on high-level metaphors, such as code smells and design patterns; or software metrics. Objective: This study aims to build empirical evidence reinforcing that basic concepts deserve more attention towards better OO design the study investigates the application of coupling and cohesion concepts during programming activity. Two topics are addressed: i) how developer characteristics (""previous knowledge on the concepts""and ""developers experience"") impact on software design during programming activity; and ii) the differences in applying the concepts, independently. Method: A quasi-experiment with 17 participants the participants were graduate and undergraduate students, but all have professional experience in software development the software they programmed was compared with the experiment's oracle in terms of the application of coupling and cohesion concepts. Result: One finding is previous knowledge on the concepts impacts on design quality, in some way; while developers experience doesn't. Another finding is: Application of cohesion is significantly easier than application of coupling. Conclusion: A conjecture based on these findings is training on basic OO principles (including formal education) might be more relevant than developer experience towards better software design. At last, the topic needs more investigation. We suggest this approach brings a complementary perspective of analysis to discuss the topic. © 2020 ACM.","cohesion; coupling; object oriented; programming","Application programs; Computer software selection and evaluation; Software design; Students; Controlled experiment; Object oriented design; Object oriented software; Professional experiences; Programming activities; Quasi-experiments; Software metrics; Undergraduate students; Object oriented programming",,,,,,,,,,,,,,"Association for Computing Machinery",,9781450389235,,,"English","ACM Int. Conf. Proc. Ser.",Conference Paper,"Final","",Scopus,2-s2.0-85102881294
"Shen L., Liu W., Chen X., Gu Q., Liu X.","57222333746;56413365400;57189091783;57205368016;36976111400;","Improving machine learning-based code smell detection via hyper-parameter optimization",2020,"Proceedings - Asia-Pacific Software Engineering Conference, APSEC","2020-December",,"9359294","276","285",,1,"10.1109/APSEC51365.2020.00036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102361663&doi=10.1109%2fAPSEC51365.2020.00036&partnerID=40&md5=c49ef6a8d2e7118337a543df45030969","School of Computer Science and Technology, Nanjing Tech University, Nanjing, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China","Shen, L., School of Computer Science and Technology, Nanjing Tech University, Nanjing, China; Liu, W., School of Computer Science and Technology, Nanjing Tech University, Nanjing, China, State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; Chen, X., State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China, State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; Gu, Q., State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; Liu, X., School of Computer Science and Technology, Nanjing Tech University, Nanjing, China","Unlike code errors, the presence of code smell often does not affect the behavior of the software system, but it will cause quality problems in terms of readability, understandability, and efficiency. To improve the software quality and reduce the maintenance costs, the developers need to detect code smells rapidly and make corresponding code refactoring. In code smell detection, recently, machine learning-based methods become more prevalent and can overcome the shortcomings of the heuristic-based methods, which mainly rely on manually designed rules. However, to our best knowledge, there is little research to analyze whether using hyper-parameter optimization can improve the performance of machine learning-based methods. In this study, we mainly focus on two classical code smells (i.e., Data Class and Feature Envy). First, we consider four optimizers for hyper-parameter optimization, and six commonly used classifiers for machine-learning-based methods. Second, we use AUC as the performance measure to evaluate the performance of constructed models. Based on final empirical results, we find that (1) Using hyper-parameter optimization can significantly improve the performance of code smell detection. (2) Differential evolution (DE) optimizer can achieve better performance than the other three optimizers when using the random forest classifier. (3) We can further improve the performance of code smell detection when performing parameter optimization on the DE optimizer. © 2020 IEEE.","code smell detection; differential evolution; hyperparameter optimization; machine learning","Computer software selection and evaluation; Decision trees; Evolutionary algorithms; Heuristic methods; Machine learning; Odors; Software quality; Code re-factoring; Differential Evolution; Hyper-parameter optimizations; Parameter optimization; Performance measure; Random forest classifier; Software systems; Understandability; Optimization","JC2019106; National Natural Science Foundation of China, NSFC: 61972192; Natural Science Foundation of Jiangsu Province; State Key Laboratory of Novel Software Technology","This work is supported in part by the National Natural Science Foundation of China (Grants No.61972192), the Natural Science Foundation of Jiangsu Province (Grants No.BK20180695), the Open Project of State Key Laboratory for Novel Software Technology at Nanjing University (Grants No.KFKT2018B17), the Nantong Application Research Plan (Grants No. JC2019106), and Jiangsu Government Scholarship for Overseas Studies.",,,,,,,,,,"Liu, W.; School of Computer Science and Technology, China; email: liuws0707@gmail.com",,"IEEE Computer Society",15301362,9781728195537,,,"English","Proc. Asia Pac. Softw. Eng. Conf. APSEC",Conference Paper,"Final","",Scopus,2-s2.0-85102361663
[No author name available],[No author id available],"Proceedings - 2020 IEEE 20th International Conference on Software Quality, Reliability, and Security, QRS 2020",2020,"Proceedings - 2020 IEEE 20th International Conference on Software Quality, Reliability, and Security, QRS 2020",,,,"","",556,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099281070&partnerID=40&md5=02302836a9ad993ebc417e7c60c78722",,"","The proceedings contain 54 papers. The topics discussed include: incorporating android code smells into java static code metrics for security risk prediction of android applications; data evaluation and enhancement for quality improvement of machine learning; STAN: towards describing bytecodes of smart contract; how fast and effectively can code change history enrich stack overflow? PBLInv: postcondition-based loop invariant learning for C programs; RTPDroid: detecting implicitly malicious behaviors under runtime permission model; attack graph auto-generation for blockchains based on bigraphical reaction systems; which metrics should researchers use to collect repositories: an empirical study; and practical automatic lightweight nondeterminism and flaky test detection and debugging for python.",,,,,,,,,,,,,,,,"Institute of Electrical and Electronics Engineers Inc.",,9781728189130,,,"English","Proc. - IEEE Int. Conf. Softw. Qual., Reliab., Secur., QRS",Conference Review,"Final","",Scopus,2-s2.0-85099281070
"Lujan S., Pecorelli F., Palomba F., De Lucia A., Lenarduzzi V.","57220205452;57210934334;55321369000;7003641564;55348964400;","A preliminary study on the adequacy of static analysis warnings with respect to code smell prediction",2020,"MaLTeSQuE 2020 - Proceedings of the 4th ACM SIGSOFT International Workshop on Machine-Learning Techniques for Software-Quality Evaluation, Co-located with ESEC/FSE 2020",,,,"1","6",,3,"10.1145/3416505.3423559","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097308081&doi=10.1145%2f3416505.3423559&partnerID=40&md5=3b7f138612836dbeb7ae45f6e765d686","Tampere University, Finland; University of Salerno, Italy; Lut University, Finland","Lujan, S., Tampere University, Finland; Pecorelli, F., University of Salerno, Italy; Palomba, F., University of Salerno, Italy; De Lucia, A., University of Salerno, Italy; Lenarduzzi, V., Lut University, Finland","Code smells are poor implementation choices applied during software evolution that can affect source code maintainability. While several heuristic-based approaches have been proposed in the past, machine learning solutions have recently gained attention since they may potentially address some limitations of state-of-the-art approaches. Unfortunately, however, machine learning-based code smell detectors still suffer from low accuracy. In this paper, we aim at advancing the knowledge in the field by investigating the role of static analysis warnings as features of machine learning models for the detection of three code smell types. We first verify the potential contribution given by these features. Then, we build code smell prediction models exploiting the most relevant features coming from the first analysis. The main finding of the study reports that the warnings given by the considered tools lead the performance of code smell prediction models to drastically increase with respect to what reported by previous research in the field. © 2020 ACM.","Code Smells; Machine Learning; Static Analysis Tools","Computer software selection and evaluation; Engineering education; Forecasting; Machine learning; Predictive analytics; Quality control; Code smell; Machine learning models; Prediction model; Relevant features; Software Evolution; Source codes; State-of-the-art approach; Static analysis",,,,,,,,,,,,,"Khomh F.Salza P.Catolino G.","Association for Computing Machinery, Inc",,9781450381246,,,"English","MaLTeSQuE - Proc. ACM SIGSOFT Int. Workshop Mach.-Learn. Tech. Softw.-Qual. Eval., co-located ESEC/FSE",Conference Paper,"Final","",Scopus,2-s2.0-85097308081
[No author name available],[No author id available],"MaLTeSQuE 2020 - Proceedings of the 4th ACM SIGSOFT International Workshop on Machine-Learning Techniques for Software-Quality Evaluation, Co-located with ESEC/FSE 2020",2020,"MaLTeSQuE 2020 - Proceedings of the 4th ACM SIGSOFT International Workshop on Machine-Learning Techniques for Software-Quality Evaluation, Co-located with ESEC/FSE 2020",,,,"","",45,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097303808&partnerID=40&md5=cf91b6a5076c2118d8b0a92734e1cfa3",,"","The proceedings contain 6 papers. The topics discussed include: a preliminary study on the adequacy of static analysis warnings with respect to code smell prediction; DeepIaC: Deep learning-based linguistic anti-pattern detection in IaC; speeding up the data extraction of machine learning approaches: a distributed framework; RARE: a labeled dataset for cloud-native memory anomalies; TraceSim: a method for calculating stack trace similarity; and singling the odd ones out: a novelty detection approach to find defects in infrastructure-as-code.",,,,,,,,,,,,,,,"Khomh F.Salza P.Catolino G.","Association for Computing Machinery, Inc",,9781450381246,,,"English","MaLTeSQuE - Proc. ACM SIGSOFT Int. Workshop Mach.-Learn. Tech. Softw.-Qual. Eval., co-located ESEC/FSE",Conference Review,"Final","",Scopus,2-s2.0-85097303808
"Borovits N., Kumara I., Krishnan P., Palma S.D., Di Nucci D., Palomba F., Tamburri D.A., Van Den Heuvel W.-J.","57220204038;36662316400;57220514387;57219763379;57016777600;55321369000;35488974800;7005472245;","DeepIaC: Deep learning-based linguistic anti-pattern detection in IaC",2020,"MaLTeSQuE 2020 - Proceedings of the 4th ACM SIGSOFT International Workshop on Machine-Learning Techniques for Software-Quality Evaluation, Co-located with ESEC/FSE 2020",,,,"7","12",,9,"10.1145/3416505.3423564","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097271248&doi=10.1145%2f3416505.3423564&partnerID=40&md5=12eba55843e214a90219d1530b0d3907","Tilburg University, Netherlands; Jads, Netherlands; Eindhoven University of Technology, Netherlands; University of Salerno, Italy","Borovits, N., Tilburg University, Netherlands, Jads, Netherlands; Kumara, I., Eindhoven University of Technology, Netherlands; Krishnan, P., Eindhoven University of Technology, Netherlands; Palma, S.D., Tilburg University, Netherlands, Jads, Netherlands; Di Nucci, D., Tilburg University, Netherlands; Palomba, F., University of Salerno, Italy; Tamburri, D.A., Tilburg University, Netherlands; Van Den Heuvel, W.-J., Tilburg University, Netherlands","Linguistic anti-patterns are recurring poor practices concerning inconsistencies among the naming, documentation, and implementation of an entity. They impede readability, understandability, and maintainability of source code. This paper attempts to detect linguistic anti-patterns in infrastructure as code (IaC) scripts used to provision and manage computing environments. In particular, we consider inconsistencies between the logic/body of IaC code units and their names. To this end, we propose a novel automated approach that employs word embeddings and deep learning techniques. We build and use the abstract syntax tree of IaC code units to create their code embedments. Our experiments with a dataset systematically extracted from open source repositories show that our approach yields an accuracy between 0.785 and 0.915 in detecting inconsistencies. © 2020 ACM.","Code Embedding; Deep Learning; Defects; IaC; Infrastructure Code; Linguistic Anti-patterns; Word2Vec","Computation theory; Computer software selection and evaluation; Engineering education; Learning systems; Linguistics; Open source software; Open systems; Pattern recognition; Quality control; Trees (mathematics); Abstract Syntax Trees; Anti-patterns; Automated approach; Computing environments; Learning techniques; Open source repositories; Source codes; Understandability; Deep learning","Horizon 2020 Framework Programme, H2020: 825040, 825480; European Commission, EC: RADON H2020","This work is supported by the European Commission grant no. 825480 (SODALITE H2020) and no. 825040 (RADON H2020). We thank all members of the SODALITE and RADON consortia for their inputs and feedbacks to the development of this paper.",,,,,,,,,,,"Khomh F.Salza P.Catolino G.","Association for Computing Machinery, Inc",,9781450381246,,,"English","MaLTeSQuE - Proc. ACM SIGSOFT Int. Workshop Mach.-Learn. Tech. Softw.-Qual. Eval., co-located ESEC/FSE",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85097271248
