Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A survey of Intel SGX and its applications,Frontiers of Computer Science,,15.0,3,10.1007/s11704-019-9096-y,Wei ZhengYing WuXiaoxue WuChen FengYulei SuiXiapu LuoYajin Zhou,2020,http://link.springer.com/article/10.1007/s11704-019-9096-y,Article
Exploring the Relation Between Co-changes and Architectural Smells,SN Computer Science,,2.0,1,10.1007/s42979-020-00407-5,Darius SasParis AvgeriouRonald KruizingaRuben Scheedler,2020,http://link.springer.com/article/10.1007/s42979-020-00407-5,Article
Sexually transmitted infections related care-seeking behavior and associated factors among reproductive age women in Ethiopia: further analysis of the 2016 demographic and health survey,BMC Women's Health,,20.0,1,10.1186/s12905-020-01145-9,Simegnew Handebo,2020,http://link.springer.com/article/10.1186/s12905-020-01145-9,Article
The effectiveness of parent training for children with autism spectrum disorder: a systematic review and meta-analyses,BMC Psychiatry,,20.0,1,10.1186/s12888-020-02973-7,Shoumitro (Shoumi) DebAmeeta RetzerMeera RoyRupali AcharyaBharati LimbuAshok Roy,2020,http://link.springer.com/article/10.1186/s12888-020-02973-7,Article
The effect of Bellwether analysis on software vulnerability severity prediction models,Software Quality Journal,,28.0,4,10.1007/s11219-019-09490-1,Patrick Kwaku KudjoJinfu ChenSolomon MensahRichard AmankwahChristopher Kudjo,2020,http://link.springer.com/article/10.1007/s11219-019-09490-1,Article
A public unified bug dataset for java and its assessment regarding metrics and bug prediction,Software Quality Journal,,28.0,4,10.1007/s11219-020-09515-0,Rudolf FerencZoltán TóthGergely LadányiIstván SiketTibor Gyimóthy,2020,http://link.springer.com/article/10.1007/s11219-020-09515-0,Article
Identification of refactoring opportunities for source code based on class association relationships,Journal of Central South University,,27.0,12,10.1007/s11771-020-4576-7,Wei Liu 刘伟Na Yang 杨娜Xin-di Huang 黄辛迪Wei Hu 胡为Zhi-gang Hu 胡志刚,2020,http://link.springer.com/article/10.1007/s11771-020-4576-7,Article
Predicting technical debt from commit contents: reproduction and extension with automated feature selection,Software Quality Journal,,28.0,4,10.1007/s11219-020-09520-3,Leevi RantalaMika Mäntylä,2020,http://link.springer.com/article/10.1007/s11219-020-09520-3,Article
A multi-dimensional study on the state of the practice of REST APIs usage in Android apps,Automated Software Engineering,,27.0,3 - 4,10.1007/s10515-020-00272-9,Manel AbdellatifRafik TighiltAbdelkarim BelkhirNaouel MohaYann-Gaël GuéhéneucÉric Beaudry,2020,http://link.springer.com/article/10.1007/s10515-020-00272-9,Article
Image segmentation evaluation: a survey of methods,Artificial Intelligence Review,,53.0,8,10.1007/s10462-020-09830-9,Zhaobin WangE. WangYing Zhu,2020,http://link.springer.com/article/10.1007/s10462-020-09830-9,Article
Explainability as a non-functional requirement: challenges and recommendations,Requirements Engineering,,25.0,4,10.1007/s00766-020-00333-1,Larissa ChazetteKurt Schneider,2020,http://link.springer.com/article/10.1007/s00766-020-00333-1,Article
Restructuring Object-Oriented Software Systems Using Various Aspects of Class Information,Arabian Journal for Science and Engineering,,45.0,12,10.1007/s13369-020-04785-z,Amarjeet PrajapatiAnshu ParasharJitender Kumar Chhabra,2020,http://link.springer.com/article/10.1007/s13369-020-04785-z,Article
Measuring sustainable development in the education area using multi-criteria methods: a case study,Central European Journal of Operations Research,,28.0,4,10.1007/s10100-019-00641-0,Ewa RoszkowskaMarzena Filipowicz-Chomko,2020,http://link.springer.com/article/10.1007/s10100-019-00641-0,Article
Comparative Study of STPA and Bowtie Methods: Case of Hazard Identification for Pipeline Transportation,Journal of Failure Analysis and Prevention,,20.0,6,10.1007/s11668-020-01010-9,Wafia BenhamlaouiMounira RouainiaYiliu LiuMohammed Salah Medjram,2020,http://link.springer.com/article/10.1007/s11668-020-01010-9,Article
Contingent Convertible bond literature review: making everything and nothing possible?,Journal of Banking Regulation,,21.0,4,10.1057/s41261-019-00122-z,Philippe Oster,2020,http://link.springer.com/article/10.1057/s41261-019-00122-z,Article
Evaluating the usability and instructional design quality of Interactive Virtual Training for Teachers (IVT-T),Educational Technology Research and Development,,68.0,6,10.1007/s11423-020-09819-9,Elisa S. ShernoffKatherine Von SchalschaJoseph L. GabbardAlban DelmarreStacy L. FrazierCédric BucheChristine Lisetti,2020,http://link.springer.com/article/10.1007/s11423-020-09819-9,Article
FaReT: A free and open-source toolkit of three-dimensional models and software to study face perception,Behavior Research Methods,,52.0,6,10.3758/s13428-020-01421-4,Jason HaysClaudia WongFabian A. Soto,2020,http://link.springer.com/article/10.3758/s13428-020-01421-4,Article
"Rethinking, Reworking and Revolutionising the Turing Test",Minds and Machines,,30.0,4,10.1007/s11023-020-09553-4,Nicola DamassinoNicholas Novelli,2020,http://link.springer.com/article/10.1007/s11023-020-09553-4,Article
Blockchain applied to the construction supply chain: A case study with threat model,Frontiers of Engineering Management,,7.0,4,10.1007/s42524-020-0129-x,Gjorgji ShemovBorja Garcia de SotoHoda Alkhzaimi,2020,http://link.springer.com/article/10.1007/s42524-020-0129-x,Article
"User Experience (re)Design and Evaluation of a Self-Guided, Mobile Health App for Adolescents with Mild Traumatic Brain Injury",Journal of Formative Design in Learning,,4.0,2,10.1007/s41686-019-00038-x,Matthew SchmidtAllison P. FisherJoshua SensenbaughBrandt LingCarmen RiettaLynn BabcockBrad G. KurowskiShari L. Wade,2020,http://link.springer.com/article/10.1007/s41686-019-00038-x,Article
Role of conjecture mapping in applying a game-based strategy towards a case library: a view from educational design research,Journal of Computing in Higher Education,,32.0,3,10.1007/s12528-020-09251-1,Andrew A. TawfikMatthew SchmidtChelsy P. Hooper,2020,http://link.springer.com/article/10.1007/s12528-020-09251-1,Article
From the “Norwegian Flora” (Eighteenth Century) to “Plants and Tradition” (Twentieth Century): 200 Years of Norwegian Knowledge about Wild Plants,Economic Botany,,74.0,4,10.1007/s12231-020-09507-y,I. Teixidor-ToneuK. KjesrudE. BjerkeK. ParekhA. Kool,2020,http://link.springer.com/article/10.1007/s12231-020-09507-y,Article
Fast and Slow: Using Spritz for Academic Study?,"Technology, Knowledge and Learning",,25.0,4,10.1007/s10758-020-09442-w,Arinola AdefilaSean GrahamAshok Patel,2020,http://link.springer.com/article/10.1007/s10758-020-09442-w,Article
Beyond COVID-19: Applying “SDG logics” for resilient transformations,Journal of International Business Policy,,3.0,4,10.1057/s42214-020-00076-4,Jan Anton van ZantenRob van Tulder,2020,http://link.springer.com/article/10.1057/s42214-020-00076-4,Article
Individual and contextual factors associated with disposal of children’s stools in Papua New Guinea: evidence from the 2016–2018 demographic and health survey,BMC Public Health,,20.0,1,10.1186/s12889-020-09852-6,Abdul-Aziz SeiduEbenezer AgbagloBright Opoku AhinkorahLouis Kobina DadzieIshmael BukariEdward Kwabena AmeyawSanni Yaya,2020,http://link.springer.com/article/10.1186/s12889-020-09852-6,Article
Acceptability of menstrual products interventions for menstrual hygiene management among women and girls in Malawi,Reproductive Health,,17.0,1,10.1186/s12978-020-01045-z,Christabel KambalaAngela ChinangwaEffie ChipetaBelen TorondelTracy Morse,2020,http://link.springer.com/article/10.1186/s12978-020-01045-z,Article
